alpha,gamma_0.1,gamma_0.5,gamma_1.0,gamma_2.0,gamma_5.0
0.2,0.4810056388389649,0.5365064519071939,0.5818634959876285,0.6156075284083766,0.6886539181845326
0.4,0.5392256177059196,0.5755293222988029,0.6202799140111265,0.668237922851845,0.7298551637689569
0.5,0.5687944645811266,0.608798341690717,0.6508107071947824,0.6902715846651437,0.7483068771980208
0.6,0.5430446421172348,0.633366024579163,0.6998159948499857,0.7234418081041148,0.7725939527198271
0.8,0.6638188991346992,0.707486489607923,0.7501540719808197,0.7743132485035509,0.8193717173412192
0.9,0.6983719931746294,0.7434315340855451,0.7712968339476017,0.8148429142183963,0.8299555419458118
0.93,0.7241178591123656,0.7584401574424121,0.793589882813237,0.828812516056021,0.8532637576518711
0.96,0.6873370503070912,0.7666200798746349,0.812346662007726,0.8268372522129107,0.8686100740945748
0.99,0.6996759780705625,0.797633499366456,0.8200011796321853,0.830459714421823,0.8781601510921975
1.0,1.0,1.0,1.0,1.0,1.0
